FID,ADDRESBR,BRNUM,BRSERTYP,CBSABR,CBSANAMB,CITYBR,CNTRYNAB,CNTYNAMB,DEPSUMBR,GEOCODE_CE,GEOCODE__1,NAMEBR,STALPBR,STCNTYBR,STNAMEBR,UNINUMBR,ZIPBR,CERT,ADDRESS,ASSET,BKCLASS,CITY,CNTRYNA,DENOVO,DEPDOM,NAMEFULL,NAMEHCR,REGAGNT,REPDTE,RSSDID,STALP,STCNTY,STNAME,ZIP,BKMO,LOC_NAME,STATUS,SCORE,x,y,GeocodeSou
13001,950 Park Street,0,11,14460,"Boston-Cambridge-Newton, MA-NH",Stoughton,United States,Norfolk,46645,2007,456101,Stoughton Co-Operative Bank,MA,25021,Massachusetts,33215,2072,26513,950 Park Street,96326,SM,Stoughton,United States,0,75160,Stoughton Co-operative Bank, ,FED,2014-06-30T00:00:00.000Z,164975,MA,25021,MASSACHUSETTS,2072,1,PointAddress,M,100,-71.073321,42.111569,HSIP USA_ZIP4 Composite
13002,97 Lowell Road,360,11,14460,"Boston-Cambridge-Newton, MA-NH",Concord,United States,Middlesex,154554,1039,361300,Concord Branch,MA,25017,Massachusetts,33217,1742,57957,One Citizens Plaza,100642478,N,Providence,United States,0,68755303,"Citizens Bank, National Association",UK FINANCIAL INVESTMENTS LIMITED,OCC,2014-06-30T00:00:00.000Z,3303298,RI,44007,RHODE ISLAND,2903,0,PointAddress,M,100,-71.352231,42.463779,HSIP USA_ZIP4 Composite
13003,342 Main Street,0,11,14460,"Boston-Cambridge-Newton, MA-NH",Wakefield,United States,Middlesex,74480,4016,335100,Wakefield Co-Operative Bank,MA,25017,Massachusetts,33218,1880,26516,342 Main Street,174742,SB,Wakefield,United States,0,147124,Wakefield Co-operative Bank, ,FDIC,2014-06-30T00:00:00.000Z,330873,MA,25017,MASSACHUSETTS,1880,1,PointAddress,M,100,-71.071241,42.504579,HSIP USA_ZIP4 Composite
13004,121 Main Street,0,11,12700,"Barnstable Town, MA",Yarmouth Port,United States,Barnstable,144528,2017,11802,Cape Cod Co-Operative Bank,MA,25001,Massachusetts,33219,2675,26517,121 Main Street,745395,SB,Yarmouth Port,United States,0,554956,Cape Cod Co-operative Bank,"COASTAL AFFILIATES, MHC",FDIC,2014-06-30T00:00:00.000Z,119779,MA,25001,MASSACHUSETTS,2675,1,StreetAddress,M,100,-70.252098,41.703698,HSIP USA_ZIP4 Composite
13005,205 Main St,0,11,0, ,Frost,United States,Faribault,34860,1197,460500,Frost State Bank,MN,27043,Minnesota,33221,56033,26519,205 Main St,39881,NM,Frost,United States,0,34860,Frost State Bank, ,FDIC,2014-06-30T00:00:00.000Z,943853,MN,27043,MINNESOTA,56033,1,StreetAddress,M,100,-93.923821,43.584759,HSIP USA_ZIP4 Composite
13006,Junction Hwys. 76-86 & 37,0,11,0, ,Cassville,United States,Barry,62916,4054,960500,Security Bank Of Southwest Missouri,MO,29009,Missouri,33222,65625,26520,Junction Hwys. 76-86 & 37,79812,NM,Cassville,United States,0,71702,Security Bank of Southwest Missouri, ,FDIC,2014-06-30T00:00:00.000Z,897853,MO,29009,MISSOURI,65625,1,Postal,M,100,-93.848067,36.680953,HSIP USA_ZIP4 Composite
13007,101 East Mackenzie,9,11,0, ,White City,United States,Morris,13107,4040,963600,White City Branch,KS,20127,Kansas,33223,66872,4702,802 North Washington Street,842390,N,Junction City,United States,0,731355,Central National Bank,"CENTRAL OF KANSAS, INC.",OCC,2014-06-30T00:00:00.000Z,234355,KS,20061,KANSAS,66441,0,StreetAddress,M,88,-96.735677,38.795638,HSIP USA_ZIP4 Composite
13008,205 S. Penn,0,11,0, ,Oberlin,United States,Decatur,43815,1072,951200,The Bank,KS,20039,Kansas,33224,67749,26522,205 S. Penn,335827,NM,Oberlin,United States,0,257019,The Bank,"DECATUR INVESTMENT, INC.",FDIC,2014-06-30T00:00:00.000Z,333650,KS,20039,KANSAS,67749,1,StreetAddress,M,100,-100.52912,39.818872,HSIP USA_ZIP4 Composite
13009,31 Sutton Avenue,0,11,49340,"Worcester, MA-CT",Oxford,United States,Worcester,56321,3007,753200,"Hometown Bank, A Cooperative Bank",MA,25027,Massachusetts,33225,1540,26523,31 Sutton Avenue,390077,SB,Oxford,United States,0,335944,"Hometown Bank, A Cooperative Bank",HOMETOWN COMMUNITY BANCORP MHC,FDIC,2014-06-30T00:00:00.000Z,1004470,MA,25027,MASSACHUSETTS,1540,1,PointAddress,M,100,-71.859932,42.11669,HSIP USA_ZIP4 Composite
13010,"1800 Glenarm Place, Suite 103",14,11,19740,"Denver-Aurora-Lakewood, CO",Denver,United States,Denver,17717,1021,1702,Denver Glenarm Office,CO,8031,Colorado,33227,80202,2239,2101 Mountain Road Suite B,1616797,N,Albuquerque,United States,0,1339224,The First National Bank of Santa Fe,STRATEGIC GROWTH BANK INCORPORATED,OCC,2014-06-30T00:00:00.000Z,787253,NM,35001,NEW MEXICO,87104,0,PointAddress,M,100,-104.987871,39.745811,HSIP USA_ZIP4 Composite
13011,119 North Cushman Street,0,11,21820,"Fairbanks, AK",Fairbanks,United States,Fairbanks North Star,172046,2051,500,Denali State Bank,AK,2090,Alaska,33232,99701,26530,119 North Cushman Street,267870,NM,Fairbanks,United States,0,239039,Denali State Bank,"DENALI BANCORPORATION, INC.",FDIC,2014-06-30T00:00:00.000Z,571265,AK,2090,ALASKA,99701,1,PointAddress,M,100,-147.72205,64.845949,HSIP USA_ZIP4 Composite
13012,12000 Pecos Street,4243,11,19740,"Denver-Aurora-Lakewood, CO",Westminster,United States,Adams,100425,2032,60200,Westminister Branch,CO,8001,Colorado,33233,80234,3511,101 N. Phillips Avenue,1436828000,N,Sioux Falls,United States,0,1033620000,"Wells Fargo Bank, National Association",WELLS FARGO & COMPANY,OCC,2014-06-30T00:00:00.000Z,451965,SD,46099,SOUTH DAKOTA,57104,0,PointAddress,M,100,-105.006091,39.91427,HSIP USA_ZIP4 Composite
13013,160 Main Street,0,11,14460,"Boston-Cambridge-Newton, MA-NH",Gloucester,United States,Essex,154797,2022,221500,Bankgloucester,MA,25009,Massachusetts,35224,1930,26536,160 Main Street,188349,SB,Gloucester,United States,0,154958,BankGloucester, ,FDIC,2014-06-30T00:00:00.000Z,331375,MA,25009,MASSACHUSETTS,1930,1,PointAddress,M,100,-70.662422,42.612589,HSIP USA_ZIP4 Composite
13014,264 Washington Street,5,11,14460,"Boston-Cambridge-Newton, MA-NH",Brookline,United States,Norfolk,51517,2001,400700,Brookline Branch,MA,25021,Massachusetts,35225,2445,29861,435 Market St,605271,SB,Brighton,United States,0,443330,Peoples Federal Savings Bank, ,OCC,2014-06-30T00:00:00.000Z,991470,MA,25025,MASSACHUSETTS,2135,0,PointAddress,M,100,-71.119031,42.33313,HSIP USA_ZIP4 Composite
13015,406 East Silver Springs Boulevard,15,11,36100,"Ocala, FL",Ocala,United States,Marion,60232,2007,1900,Ocala Downtown Branch,FL,12083,Florida,35227,34470,33555,1101 First Street South,3888623,N,Winter Haven,United States,0,3307445,"CenterState Bank of Florida, National Association","CENTERSTATE BANKS, INC.",OCC,2014-06-30T00:00:00.000Z,1929247,FL,12105,FLORIDA,33880,0,PointAddress,M,100,-82.132702,29.18706,HSIP USA_ZIP4 Composite
13016,"Corporate Office, Kaselehlie Street",0,11,0, ,Pohnpei,Federated States Of Micronesia,Pohnpei,66388,0,0,Bank Of The Federated States Of Micronesia,FM,64040,Federated States Of Micronesia,35228,96941,26539,"Corporate Office, Kaselehlie Street",119632,NM,Pohnpei,Federated States Of Micronesia,0,100408,Bank of the Federated States of Micronesia, ,FDIC,2014-06-30T00:00:00.000Z,718275,FM,64040,FEDERATED STATES OF MICRONESIA,96941,1,ZIP, ,0,158.21,6.891,Data Flux
13017,2720 W 7th Street,39,11,19100,"Dallas-Fort Worth-Arlington, TX",Fort Worth,United States,Tarrant,33214,2074,102000,7th Street Branch,TX,48439,Texas,35230,76107,23474,102 West Moore Ave,2387440,N,Terrell,United States,0,2139784,The American National Bank of Texas,"A.N.B. HOLDING COMPANY, LTD.",OCC,2014-06-30T00:00:00.000Z,599764,TX,48257,TEXAS,75160,0,PointAddress,M,100,-97.355622,32.75108,HSIP USA_ZIP4 Composite
13018,2011 North Hampton Road,0,11,19100,"Dallas-Fort Worth-Arlington, TX",De Soto,United States,Dallas,165913,2055,16605,"Bank Of Desoto, National Association",TX,48113,Texas,35231,75115,26542,2011 North Hampton Road,184875,N,De Soto,United States,0,165913,"Bank of DeSoto, National Association","D BANCORP, INC.",OCC,2014-06-30T00:00:00.000Z,638355,TX,48113,TEXAS,75115,1,PointAddress,M,100,-96.857172,32.629631,HSIP USA_ZIP4 Composite
